NCBI	gene	pHaplo	pTriplo	Domino
1	A1BG	0.597383901247614	0.159713307620142	0.16086837
10	NAT2	0.096067395431093	0.0499220986973296	0.06383742
100	ADA	0.258454073288456	0.652339410147993	0.05626174
1000	CDH2	0.960370802903988	0.751117214720732	0.99995629
10000	AKT3	0.993997694578251	0.999330712548816	0.97599335
10001	MED6	0.454659831121787	0.281717798853322	0.41298738
10003	NAALAD2	0.363272005447471	0.163767480875304	0.12804256
100037417	DDTL	0.191669943836429	0.376073591538217	0.11311483
100038246	TLX1NB	0.813915863696532	0.403252474121711	NA
10004	NAALADL1	0.043888227722542	0.325869100388725	0.13000565
100049587	SIGLEC14	0.0938518484647354	0.93224167212591	0.05788184
10005	ACOT8	0.131112302984533	0.767417840585394	0.15508431
10006	ABI1	0.878129397181244	0.767812126363478	0.96196751
10007	GNPDA1	0.177491860306755	0.462982033905148	0.10833397
10008	KCNE3	0.105167759414442	0.10997810684722	0.30641686
1001	CDH3	0.571888732003556	0.0564874069387553	0.5089866
10010	TANK	0.746022852353301	0.713374197393067	0.7716286
100101267	POM121C	0.115670292990859	0.3269068695298	0.12825002
100113407	TMEM170B	0.822358875689792	0.369532829964182	0.40536446
100125288	ZGLP1	0.38733462091745	0.188079033673796	0.17771174
100127206	KIAA1024L	0.156648756658139	0.15030701450907	NA
100127206	MINAR2	NA	NA	0.05732745
100127983	C8orf88	NA	NA	0.14674678
100128046	PP13439	0.302966716176003	0.167278995382108	NA
100128071	FAM229A	0.0722475366206164	0.509063930299445	0.0499941
100128264	HTR5A-AS1	0.557665524133153	0.0744875888720249	NA
100128327	TRAPPC3L	0.199792867068304	0.277321070335687	0.12931022
100128378	LINC00696	0.101186271295341	0.149130832055293	NA
100128496	C20orf78	0.314729260654052	0.30617674241049	NA
100128553	CTAGE4	0.0815964056886494	0.250720986523109	0.1300114
100128569	C19orf71	0.150435548941073	0.211075841539689	0.09718308
100128731	OST4	0.308587982330205	0.365682010034866	0.08242777
100128927	ZBTB42	0.777714159513627	0.852618907821709	0.1121069
100129128	KHDC1L	0.0422615268011417	0.153812175112888	0.07857696
100129271	C1orf68	0.118882543728671	0.789135500338096	0.1628329
100129278	TDRD15	0.196796539532968	0.251130019935738	0.0742268
100129385	C9orf92	0.250668877695794	0.175319567955136	0.35328905
100129480	C3orf83	0.408265067282276	0.109345288724559	NA
100129480	MKRN2OS	NA	NA	0.07734101
100129528	MUC8	0.549657643730973	0.094688658425525	NA
100129543	ZNF730	0.0710847567996447	0.0282265112295582	0.10189063
100129583	FAM47E	0.156171754118895	0.349561779456065	0.07584502
100129654	TCF24	0.158260433418232	0.131620491669602	0.17749022
100129669	IZUMO3	0.0461502234241083	0.0229813773260866	0.04925083
100129792	CCDC152	0.108404677782376	0.0979278295572949	0.07396389
100129794	SLC25A21-AS1	0.130915963817579	0.104841080387173	NA
100129842	ZNF737	0.0613955244908092	0.0303458222205344	0.10060708
100130083	HBCBP	0.326001486830407	0.308410975275619	NA
100130274	CCDC166	0.272838655294509	0.396166795779283	0.08625052
100130311	C17orf107	0.421180012566606	0.794333157480934	0.10496997
100130348	TMEM262	NA	NA	0.18892266
100130519	TMEM221	0.175842536096118	0.124101919966062	0.11958118
100130733	LRRC70	0.176884907440579	0.0815550190915935	0.63135903
100130742	LRRC69	0.157228671289665	0.108453508984838	0.30038436
100130771	EFCAB10	0.261421937582978	0.226967066416895	0.05460104
100130776	AGAP2-AS1	0.353378919442346	0.838501868210729	NA
100130827	SBK3	0.370299978333305	0.502802911602414	0.10607097
100130933	SMIM6	0.133930900064808	0.0611297341886212	0.12223803
100130958	SYCE1L	0.444624281211717	0.0539188144906993	0
100130967	C6orf99	0.300611622880522	0.192525291782705	NA
100130988	C7orf72	0.178180428846735	0.314883600464994	NA
100130988	SPATA48	NA	NA	0.04846959
100131137	BSPH1	0.230468047923298	0.247882539985103	0.06156624
100131187	TSTD1	0.36635014932482	0.864915334489366	0.06093336
100131211	NEMP2	NA	NA	0.06660693
